species,protein,read_counts
Clostridia bacterium UC5.1-1D4,D-lactate dehydrogenase VanH-D,2
Clostridia bacterium UC5.1-1D4,D-alanine--(R)-lactate ligase VanD,2
Bifidobacterium pseudocatenulatum,tetracycline resistance ribosomal protection protein Tet(W),7
Butyricimonas faecalis,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),1
Butyricimonas faecalis,tetracycline resistance ribosomal protection protein Tet(Q),4
Butyricimonas faecalis,CfxA family class A broad-spectrum beta-lactamase,1
Barnesiella intestinihominis,tetracycline resistance ribosomal protection protein Tet(Q),5
Bacteroides ovatus,tetracycline resistance ribosomal protection protein Tet(Q),5
Pseudoruminoccoccus massiliensis,streptogramin A O-acetyltransferase Vat(B),1
Pseudoruminoccoccus massiliensis,tetracycline resistance ribosomal protection protein Tet(W),4
Dysosmobacter welbionis,tetracycline resistance ribosomal protection protein Tet(W),5
uncultured Clostridiales bacterium,D-alanine--D-serine ligase VanG,1
uncultured Clostridiales bacterium,lincosamide nucleotidyltransferase Lnu(C),1
uncultured Clostridiales bacterium,tetracycline resistance ribosomal protection protein Tet(W),1
uncultured Clostridiales bacterium,VanC-type vancomycin resistance DNA-binding response regulator VanR,1
uncultured Eubacterium sp.,tetracycline resistance ribosomal protection protein Tet(O),4
Lachnospiraceae bacterium GAM79,tetracycline resistance ribosomal protection protein Tet(W),4
Dorea longicatena,tetracycline resistance ribosomal protection protein Tet(O),3
Dorea longicatena,aminoglycoside 6-adenylyltransferase AadE,1
Bacteroides dorei,tetracycline resistance ribosomal protection protein Tet(Q),1
Bacteroides dorei,macrolide efflux MFS transporter Mef(A),2
Bacteroides dorei,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(T),1
uncultured Ruminococcus sp.,trimethoprim-resistant dihydrofolate reductase DfrF,3
Bacteroides faecis,CepA family class A extended-spectrum beta-lactamase,2
Bacteroides faecis,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G),1
Blautia wexlerae,trimethoprim-resistant dihydrofolate reductase DfrF,1
Blautia wexlerae,VanD-type vancomycin resistance histidine kinase VanS,1
Blautia wexlerae,glycopeptide resistance transcriptional regulator VanU,1
uncultured Blautia sp.,VanD-type vancomycin resistance DNA-binding response regulator VanR,1
uncultured Blautia sp.,VanD-type vancomycin resistance histidine kinase VanS,1
uncultured Blautia sp.,tetracycline resistance ribosomal protection protein Tet(O),1
uncultured Dialister sp.,macrolide efflux MFS transporter Mef(En2),2
uncultured Dialister sp.,lincosamide nucleotidyltransferase Lnu(AN2),1
Asaccharobacter celatus,tetracycline resistance ribosomal protection protein Tet(W),2
Firmicutes bacterium AF25-13AC,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),2
Dorea formicigenerans,tetracycline resistance ribosomal protection protein Tet(O),2
Anaerotignum faecicola,tetracycline resistance ribosomal protection protein Tet(O),2
uncultured Solobacterium sp.,ABC-F type ribosomal protection protein Msr(D),1
uncultured Solobacterium sp.,macrolide efflux MFS transporter Mef(A),1
Bacteroides thetaiotaomicron,tetracycline resistance ribosomal protection protein Tet(Q),2
uncultured Bacteroides sp.,trimethoprim-resistant dihydrofolate reductase DfrF,1
uncultured Bacteroides sp.,macrolide efflux MFS transporter Mef(En2),1
Alistipes shahii,tetracycline resistance ribosomal protection protein Tet(Q),2
[Clostridium] lavalense,tetracycline efflux MFS transporter Tet(40),1
[Clostridium] lavalense,tetracycline resistance ribosomal protection protein Tet(O),1
Ruminococcus lactaris,tetracycline resistance ribosomal protection protein Tet(O),1
Ruminococcus lactaris,VanD-type vancomycin resistance DNA-binding response regulator VanR,1
[Eubacterium] rectale,VanD-type vancomycin resistance histidine kinase VanS,1
[Eubacterium] rectale,ABC-F type ribosomal protection protein OptrA,1
Parabacteroides merdae,tetracycline resistance ribosomal protection protein Tet(Q),2
Anaerotruncus massiliensis,tetracycline resistance ribosomal protection protein Tet(W),2
Firmicutes bacterium AM31-12AC,trimethoprim-resistant dihydrofolate reductase DfrF,2
Bacteroides cellulosilyticus,tetracycline resistance ribosomal protection protein Tet(Q),2
Firmicutes bacterium TM09-10,tetracycline resistance ribosomal protection protein Tet(O),2
Enorma massiliensis,tetracycline resistance ribosomal protection protein Tet(W),2
Coprococcus eutactus,VanD-type vancomycin resistance DNA-binding response regulator VanR,1
Coprococcus eutactus,tetracycline resistance ribosomal protection protein Tet(O),1
Ruthenibacterium lactatiformans,tetracycline resistance ribosomal protection protein Tet(W),2
Bacteroides finegoldii,CepA family class A extended-spectrum beta-lactamase,1
Bacteroides finegoldii,macrolide efflux MFS transporter Mef(A),1
Alistipes communis,tetracycline resistance ribosomal protection protein Tet(Q),2
[Ruminococcus] gnavus,tetracycline resistance ribosomal protection protein Tet(O),1
Roseburia inulinivorans,aminoglycoside O-phosphotransferase APH(3')-IIIa,1
[Clostridium] bolteae,tetracycline resistance ribosomal protection protein Tet(O),1
Firmicutes bacterium CAG:83,VanC-type vancomycin resistance histidine kinase VanS,1
Lachnospiraceae bacterium,macrolide efflux MFS transporter Mef(A),1
Anaerobutyricum soehngenii,tetracycline efflux MFS transporter Tet(40),1
Coprococcus catus,VanD-type vancomycin resistance DNA-binding response regulator VanR,1
Subdoligranulum variabile,tetracycline resistance ribosomal protection protein Tet(W),1
Parabacteroides johnsonii,macrolide efflux MFS transporter Mef(En2),1
Lawsonibacter asaccharolyticus,tetracycline resistance ribosomal protection protein Tet(W),1
Bittarella massiliensis,tetracycline resistance ribosomal protection protein Tet(W),1
Alistipes finegoldii,tetracycline resistance ribosomal protection protein Tet(Q),1
Eisenbergiella tayi,aminoglycoside O-phosphotransferase APH(2'')-IIa,1
Mediterraneibacter butyricigenes,trimethoprim-resistant dihydrofolate reductase DfrF,1
Lachnospiraceae bacterium OM04-12BH,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),1
Ruminococcaceae bacterium AM07-15,lincosamide nucleotidyltransferase Lnu(C),1
Parabacteroides distasonis,tetracycline resistance ribosomal protection protein Tet(Q),1
uncultured Flavonifractor sp.,tetracycline resistance ribosomal protection protein Tet(W),1
Oxalobacter formigenes,tetracycline resistance ribosomal protection protein Tet(W),1
Neglecta timonensis,tetracycline resistance ribosomal protection protein Tet(W),1
Clostridiales bacterium CCNA10,tetracycline resistance ribosomal protection protein Tet(W),1
Clostridium phoceensis,VanD-type vancomycin resistance histidine kinase VanS,1
Merdibacter massiliensis,tetracycline resistance ribosomal protection protein Tet(W),1
Pseudoflavonifractor capillosus,ABC-F type ribosomal protection protein Lsa(E),1
